City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
482,Balabac,PH,86.81,7.9868,117.0645,Batalla’s Lodging House
484,Koumac,NC,80.65,-20.5667,164.2833,Le Monitel
486,Vila Velha,BR,75.15,-20.3297,-40.2925,Hotel Vitória Palace
487,Qui Nhon,VN,88.34,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
490,Amahai,ID,85.78,-3.3333,128.9167,HOTEL ISABELA
492,Waspan,NI,75.02,14.7419,-83.9717,Hostal casa de la rose
495,Meadow Lake,US,76.32,34.8014,-106.5436,TumbleWeed RV Park
499,Pingdingshan,CN,83.8,33.7385,113.3012,Chengfu Hotel
501,Port Blair,IN,82.44,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
503,Acapulco,MX,84.02,16.8634,-99.8901,HS Hotsson Smart Acapulco
510,Soyo,AO,76.73,-6.1349,12.3689,Hotel Mpampa
514,Hindupur,IN,82.24,13.8289,77.4933,Om Shiridi Sai Deluxe Bedding Centre
518,Araceli,PH,82.58,10.5529,119.9913,JBryan Traveler's Inn
522,Jibuti,DJ,83.93,11.5,42.5,Orchid Main Camp Goubet
524,Celestun,MX,76.33,20.8667,-90.4,Posada Lilia
526,Puerto El Triunfo,SV,81.01,13.2833,-88.55,Hotel Jardin
528,Marsh Harbour,BS,77.95,26.5412,-77.0636,Abaco Beach Resort
529,Naica,MX,84.38,27.85,-105.4833,Departamentos Nicole
535,Hervey Bay,AU,77.77,-25.2986,152.8535,Shelly Bay Resort
536,Samarai,PG,82.65,-10.6167,150.6667,Nuli Sapi
538,Ginda,IN,84.16,30.6945,78.4932,Sunil Bisht
540,Tanout,NE,75.78,14.9709,8.8879,
544,Sindou,BF,80.49,10.6667,-5.1667,LERABA HOTEL
547,Pitiquito,MX,84.16,30.7,-112.0833,La Víspera
551,Yarada,IN,89.92,17.65,83.2667,Yarada Jungle Beach Resorts
552,Bosaso,SO,88.65,11.2842,49.1816,Red Sea Hotel
555,Dawei,MM,76.95,14.0833,98.2,Hotel Dawei
556,Makakilo City,US,77.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
